Task ID,Title,Description,Owner,Priority,Effort (hours),Effort (days),Dependencies,Status,Phase,Notes
8.1,Complete Contest.swift (23 fields),Define full Contest struct with all 23 fields (id, templateId, type, etc.) Codable, Hashable, initializer, .from() mapper, .stub() method,Core Dev,HIGH,4,0.5,None,Blocked,Phase 8,Critical - blocks 8.2 and all downstream
8.2,Fix ContestActionState.swift,Remove references to Contract types (PayoutTierContract, RosterConfigContract). Use Domain types only. Update .from() mapper.,Core Dev,HIGH,2,0.25,"8.1, 8.4, 8.5",Blocked,Phase 8,Contract→Domain mapping must be consistent
8.3,Create Standing.swift,Define Standing struct (userId, username, rank, values, tier). Leaderboard row representation. Map from LeaderboardRowContract.,Core Dev,HIGH,2,0.25,None,Blocked,Phase 8,Used in Leaderboard rendering
8.4,Create PayoutRow.swift,Define PayoutRow struct (userId, username, rank, payoutCents, tier). Settlement payout row. Map from PayoutRowContract.,Core Dev,HIGH,2,0.25,None,Blocked,Phase 8,Used in payout calculations (Phase 10)
8.5,Complete RosterConfig.swift,Complete RosterConfig with mapping logic from RosterConfigContract. Entry field schema validation.,Core Dev,HIGH,1,0.125,None,Blocked,Phase 8,Used in Contest and ContestActionState
8.6,Define LeaderboardState enum,Create enum: open, locked, scoring, scored, disputed, settled. Contest scoring state progression.,Core Dev,HIGH,1,0.125,None,Blocked,Phase 8,Determines UI state and available actions
8.7,Add Codable/Hashable to all types,Ensure all Domain types (Contest, Standing, PayoutRow, etc.) conform to Codable and Hashable.,Core Dev,HIGH,2,0.25,"8.1, 8.2, 8.3, 8.4, 8.5, 8.6",Blocked,Phase 8,Required for SwiftUI @State, collections
8.8,Write Contest.from(DTO) mapper,Implement mapping logic from ContestDetailResponseContract with null handling UUID parsing date formatting. Comprehensive error handling.,Core Dev,HIGH,3,0.375,"8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7",Blocked,Phase 8,Critical for iOS integration (Phase 9)
8.9,Update core.swift exports,Add @_exported imports for all new Domain types so iOS app can import from Core package.,Core Dev,HIGH,1,0.125,"8.1, 8.8",Blocked,Phase 8,Required before iOS dev can test
8.10,Write Domain model unit tests,Create unit tests for Domain mapping edge cases: null handling, UUID parsing, date parsing, enum mapping. Snapshot tests for regression.,QA,HIGH,6,0.75,"8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9",Blocked,Phase 8,Target: 90+ tests pass
8.11,Code review + commit Phase 8,Full code review of 8.1-8.10. Merge to staging. Tag: PHASE_8_COMPLETE.,Core Dev,MEDIUM,1,0.125,"8.1, 8.2, 8.3, 8.4, 8.5, 8.6, 8.7, 8.8, 8.9, 8.10",Blocked,Phase 8,Unblock Phase 9 and 10
9.1,Update AvailableContestsViewModel,Import Core. Change @Published from MockContest/DTO to Contest (Domain). Verify protocol injection (ContestServiceing not CustomContestService).,iOS Dev,HIGH,3,0.375,"8.1, 8.8",Blocked,Phase 9,Core integration point for contest list
9.2,Update ContestDetailViewModel,Import Core. Publish ContestActionState (Domain type) not Contract. Update service call to use .from() mapping.,iOS Dev,HIGH,2,0.25,8.2,Blocked,Phase 9,Contest detail view requires ContestActionState
9.3,Update ContestLeaderboardViewModel,Import Core. Publish Leaderboard and Standing (Domain types) not contracts. Schema-driven column rendering.,iOS Dev,HIGH,2,0.25,"8.3, 8.6",Blocked,Phase 9,Leaderboard view uses schema-driven rendering
9.4,Wire Create Contest dropdown,Connect UI dropdown to CustomContestService.createDraft(). Handle success/error. Show PublishResult (join token).,iOS Dev,HIGH,4,0.5,"8.1, 9.1",Blocked,Phase 9,End-to-end feature flow
9.5,Remove iOS app Domain/ folder,Delete ios-app/PlayoffChallenge/Domain/ folder (Contest Leaderboard PublishResult etc). Update imports to use Core.,iOS Dev,HIGH,2,0.25,"9.1, 9.2, 9.3, 9.4",Blocked,Phase 9,Eliminate duplication and confusion
9.6,Verify protocol injection,Lint check: no direct service imports in ViewModels. All services injected via protocols (Serviceing).,QA,MEDIUM,2,0.25,"9.1, 9.2, 9.3, 9.4, 9.5",Blocked,Phase 9,Enforce architecture invariant
9.7,iOS app build verification,Run xcodebuild -scheme PlayoffChallenge -configuration Debug. Verify zero errors and zero warnings.,QA,HIGH,2,0.25,"9.1, 9.2, 9.3, 9.4, 9.5, 9.6",Blocked,Phase 9,No warnings allowed in main integration
9.8,Code review + commit Phase 9,Full code review of 9.1-9.7. Merge to staging. Tag: PHASE_9_COMPLETE.,iOS Dev,MEDIUM,1,0.125,"9.1, 9.2, 9.3, 9.4, 9.5, 9.6, 9.7",Blocked,Phase 9,Unblock Phase 10
10.1,Unit tests: Contest.from() mapping,Write comprehensive tests for Contest.from(ContestDetailResponseContract): happy path null handling invalid UUIDs invalid dates status enum mapping Equatable/Hashable snapshot tests.,QA,HIGH,4,0.5,"8.8, 8.10",Blocked,Phase 10,Most critical mapping function
10.2,Unit tests: ContestActionState mapping,Test ContestActionState.from() with all contract field combinations. Ensure no Contract types leak into Domain.,QA,HIGH,3,0.375,"8.2, 8.10",Blocked,Phase 10,Verify Contract→Domain boundary
10.3,Integration test: Contest fetch flow,End-to-end test: Mock API returns contract → maps to Domain → published to ViewModel → renders in UI. Full stack.,QA,HIGH,6,0.75,"9.1, 9.7",Blocked,Phase 10,Verify complete integration
10.4,Unit tests: Payout calculations,Test payout logic: winner-takes-all tiered payouts decimal rounding no negative amounts idempotency. Edge cases with 1-3-10+ participants.,QA,HIGH,5,0.625,8.4,Blocked,Phase 10,Critical for Phase 11 settlement logic
10.5,Unit tests: Multi-contest isolation,Parametrized tests with 5 contests. Verify Contest A scoring ≠ Contest B. Participant join isolation. Payout separation.,QA,MEDIUM,4,0.5,"8.1, 8.2",Blocked,Phase 10,Enforce multi-contest invariant
10.6,Fuzz tests: JSON deserialization,Malformed JSON null values missing fields edge case dates. Ensure no crashes. Graceful fallbacks.,QA,HIGH,3,0.375,8.8,Blocked,Phase 10,Security & robustness
10.7,Integration test: Concurrent joins,Simulate 15 concurrent joins to contest with maxEntries=10. Verify 10 succeed 5 rejected. No duplicate participants.,QA,HIGH,3,0.375,8.1,Blocked,Phase 10,Critical race condition test
10.8,Snapshot tests: JSON serialization,Encode Contest to JSON snapshot. Detect unintended field changes across versions.,QA,MEDIUM,2,0.25,8.1,Blocked,Phase 10,Regression detection
10.9,Documentation: Domain mapping,Write ARCHITECTURE.md addendum: Domain type specs required/optional fields null handling invariants. Team reference.,Product,MEDIUM,2,0.25,"8.1, 8.10",Blocked,Phase 10,Living documentation
10.10,CI/CD setup: GitHub Actions,Create .github/workflows/build-and-test.yml. Lint gates: no DTO in @Published no optional Domain fields Codable/Hashable checks. Test gates: 90+ pass.,DevOps,HIGH,3,0.375,"10.1, 10.2, 10.9",Blocked,Phase 10,Enforce quality gates
10.11,Code review + commit Phase 10,Full code review of 10.1-10.10. Merge to staging. Tag: PHASE_10_COMPLETE. Expected outcome: 150+ tests passing.,QA,MEDIUM,1,0.125,"10.1, 10.2, 10.3, 10.4, 10.5, 10.6, 10.7, 10.8, 10.9, 10.10",Blocked,Phase 10,Unblock Phase 11
11.1,SELECT FOR UPDATE locking,Implement database-level lock for contest joins. Prevent concurrent duplicate participants. Test with concurrent join attempts.,Backend Dev,HIGH,6,0.75,10.7,Pending,Phase 11,Guarantee participant uniqueness
11.2,Batch contest scoring,Service to score 100+ contests in parallel. Handle various contest types. < 2s per contest latency target.,Backend Dev,HIGH,8,1,"8.1, 8.10",Pending,Phase 11,Enable production scale
11.3,Idempotent settlement,Implement settlement deduplication. Same payout settlement call produces same result. Prevent double-payouts. Idempotency key strategy.,Backend Dev,HIGH,5,0.625,10.4,Pending,Phase 11,Critical for safety
11.4,Audit logging: scoring replay,Add logging for all scoring operations. Enable determinism verification. Replay same contest = same results.,Backend Dev,MEDIUM,6,0.75,"11.2, 11.3",Pending,Phase 11,Supports replay/dispute resolution
11.5,Soft-delete contests,Implement soft-delete (status=cancelled) rather than hard delete. Preserve participant records and payout history.,Backend Dev,MEDIUM,3,0.375,8.1,Pending,Phase 11,Data preservation requirement
11.6,Pagination: contest list,Add offset/limit to contest list fetch. Optimize with indexed queries. Support 1000+ contests.,Backend Dev,MEDIUM,4,0.5,8.1,Pending,Phase 11,Performance optimization
11.7,Unit tests: Payout idempotency,Verify settle(X) = settle(settle(X)). Run settlement twice on same data. Assert identical payouts.,QA,HIGH,4,0.5,11.3,Pending,Phase 11,Prove idempotency property
11.8,Stress tests: 1000 participants,Load test with 100 concurrent contests 1000 total participants. Measure latency throughput data integrity. Zero loss.,QA,MEDIUM,5,0.625,"11.2, 11.3",Pending,Phase 11,Production readiness
11.9,Documentation: Operations runbook,Write RunBook.md for ops team: settling contests resolving disputes replaying scoring. Troubleshooting guide.,Product,MEDIUM,3,0.375,"11.2, 11.4, 11.5",Pending,Phase 11,Operational excellence
11.10,Code review + commit Phase 11,Full code review of 11.1-11.9. Merge to staging. Tag: PHASE_11_COMPLETE. Production readiness review.,Backend Dev,MEDIUM,1,0.125,"11.1, 11.2, 11.3, 11.4, 11.5, 11.6, 11.7, 11.8, 11.9",Pending,Phase 11,Final milestone
